DATE,BI-COLOR
4/29/2017,15.45
5/6/2017,15.4328125
5/13/2017,15.8546875
5/20/2017,18.77083333
5/27/2017,19.85125
6/3/2017,17.86375
6/10/2017,15.58333333
6/17/2017,14.72222222
6/24/2017,13.25
7/1/2017,14.375
7/8/2017,14.45
7/15/2017,13.796875
7/22/2017,17.125
7/29/2017,19.16346154
8/5/2017,18.875
8/12/2017,15.77941176
8/19/2017,15.807
8/26/2017,17.25277778
9/2/2017,16.62794118
9/9/2017,14.73076923
9/16/2017,12.38839286
9/23/2017,15.40446429
9/30/2017,11.77777778
10/7/2017,16.75
10/14/2017,15.34722222
10/21/2017,14.6953125
10/28/2017,9.958333333
11/4/2017,13.9375
11/11/2017,23.75
11/18/2017,33.16666667
11/25/2017,33.125
12/2/2017,31.5
12/9/2017,23.625
12/16/2017,17.29166667
12/23/2017,15.91666667
12/30/2017,15.60416667
1/6/2018,18.45833333
1/13/2018,23.75
1/20/2018,21.58333333
1/27/2018,19
2/3/2018,16.97916667
2/10/2018,15.21875
2/17/2018,13.22916667
2/24/2018,12.66666667
3/3/2018,12.14583333
3/10/2018,12.125
3/17/2018,15.20833333
3/24/2018,17.25
3/31/2018,21.10416667
4/7/2018,17.95833333
4/14/2018,16.0625
4/21/2018,15.64583333
4/28/2018,15.25
5/5/2018,15.60416667
5/12/2018,15.52083333
5/19/2018,15.95833333
5/26/2018,16.5
6/2/2018,15.09375
6/9/2018,13.45
6/16/2018,11
6/23/2018,17.828125
6/30/2018,16.575
7/7/2018,16.75
7/14/2018,17.3375
7/21/2018,16.17857143
7/28/2018,15.7109375
8/4/2018,12.5859375
8/11/2018,13.1375
8/18/2018,11.125
8/25/2018,11.72222222
9/1/2018,13.0078125
9/8/2018,15.35416667
9/15/2018,16.75
9/22/2018,16.3125
9/29/2018,17.84375
10/6/2018,20.39583333
10/13/2018,19.975
10/20/2018,28.5
10/27/2018,29.3125
11/3/2018,24.875
11/10/2018,28.025
11/17/2018,27.375
11/24/2018,23.375
12/1/2018,15.84375
12/8/2018,14.65625
12/15/2018,15.5
12/22/2018,15.09375
12/29/2018,15.91666667
1/5/2019,16.3125
1/12/2019,15.6875
1/19/2019,15.66666667
1/26/2019,19.65625
2/2/2019,23.9375
2/9/2019,28.5625
2/16/2019,27.83333333
2/23/2019,26.83333333
