DATE,BI-COLOR
2/15/2003,17.15
2/22/2003,11.725
3/1/2003,10.1
3/8/2003,10.42916667
3/15/2003,12.765
3/22/2003,11.225
3/29/2003,11
4/5/2003,10.99431818
4/12/2003,10.790625
4/19/2003,9.7975
4/26/2003,9.054545455
5/3/2003,8.570833333
5/10/2003,9.005208333
5/17/2003,9.2875
5/24/2003,10.17115385
5/31/2003,9.767045455
6/7/2003,10.0375
6/14/2003,10.33928571
6/21/2003,9.421875
6/28/2003,8.427083333
7/5/2003,8.488392857
7/12/2003,8.540909091
7/19/2003,10.22083333
7/26/2003,12.00357143
8/2/2003,10.54583333
8/9/2003,9.0625
8/16/2003,8.151041667
8/23/2003,7.710227273
8/30/2003,7.50625
9/6/2003,7.5875
9/13/2003,7.958333333
9/20/2003,8.583333333
9/27/2003,8.986111111
10/4/2003,9.499038462
10/11/2003,9.397727273
10/18/2003,10.02272727
10/25/2003,10.81666667
11/1/2003,11.35863636
11/8/2003,12.21272727
11/15/2003,12.7165
11/22/2003,13.536
11/29/2003,13.865
12/6/2003,12.89642857
12/13/2003,15.26944444
12/20/2003,14.9
12/27/2003,15.709375
1/3/2004,14.740625
1/10/2004,14.795
1/17/2004,14.39166667
1/24/2004,16.875
1/31/2004,17.075
2/7/2004,15.58125
2/14/2004,11.315
2/21/2004,12.26875
2/28/2004,13.1375
3/6/2004,13.85
3/13/2004,14.0015625
3/20/2004,13.74107143
3/27/2004,12.46875
4/3/2004,12.33214286
4/10/2004,12.94107143
4/17/2004,12.78125
4/24/2004,10.695
5/1/2004,9.869642857
5/8/2004,11.08571429
5/15/2004,10.9421875
5/22/2004,10.55
5/29/2004,10.14903846
6/5/2004,9.1796875
6/12/2004,8.125
6/19/2004,7.876666667
6/26/2004,8.380263158
7/3/2004,8.357386364
7/10/2004,8.163068182
7/17/2004,7.364673913
7/24/2004,6.808333333
7/31/2004,7.288461538
8/7/2004,9.067105263
8/14/2004,9.678846154
8/21/2004,11.89090909
8/28/2004,12.97352941
